关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
闽南蚵仔面线,午餐,350,一碗约350g,煮制,鲜香,待审核
七里河油香,加餐,100,一个约100g，作为小吃,油炸,原味,待审核
榆中煎饼,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核
瓜州驼蹄冻,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核
临洮炒搅团,午餐,300,一份约300g,炒制,酸辣,待审核
甘南牦牛酸奶,加餐,200,一碗约200g，作为加餐/饮品,其他,原味,待审核
玉门油饼,早餐,150,一个约150g，作为早餐,油炸,原味,待审核
陇西蒸面鱼,午餐,300,一碗约300g,蒸制,咸鲜,待审核
白银洋芋搅团,午餐,300,一份约300g,煮制,酸辣,待审核
武威🍽️武威蒸羊羔肉,晚餐,300,一份，可食部分约300g,蒸制,原味,待审核
酒泉炒面,午餐,350,一份约350g,炒制,咸鲜,待审核
庆阳羊肉煎饺,午餐,250,一份约250g（10只）,煎制,咸鲜,待审核
平凉锅盔,早餐,150,一个约150g，作为早餐主食,烤制,原味,待审核
张掖夹沙包,加餐,150,一份约150g，作为小吃,油炸,甜味,待审核
民勤羊肉串,加餐,150,一份约150g（5-6串）,烤制,孜然,待审核
天水凉皮,午餐,250,一份约250g,凉拌,香辣,待审核
和政羊肉汤面,午餐,400,一碗约400g,煮制,鲜香,待审核
静宁油糕,加餐,100,一个约100g，作为小吃,油炸,甜味,待审核
定西土豆粉,午餐,350,一碗约350g,煮制,香辣,待审核
客家南瓜糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核
客家芋头丸,加餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核
酸菜猪肚汤,晚餐,300,一碗约300g（含汤）,炖煮,酸辣,待审核
客家萝卜糕,加餐,150,一份约150g，作为点心,煎制,咸鲜,待审核
艾草粄,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核
客家酿腐皮卷,晚餐,200,一份约200g,蒸制,咸鲜,待审核
客家炒米粉,午餐,350,一份约350g,炒制,咸鲜,待审核
客家粄粽,加餐,150,一个约150g，作为小吃,煮制,咸鲜,待审核
梅菜蒸肉饼,晚餐,250,一份约250g,蒸制,咸鲜,待审核
客家盐焗鱼,晚餐,300,一份（整鱼），可食部分约300g,烤制,咸鲜,待审核
客家算盘子,加餐,200,一份约200g，作为小吃,炒制,咸鲜,待审核
客家黄酒鸡,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
客家河粉,午餐,350,一碗约350g,煮制,咸鲜,待审核
客家小炒,晚餐,250,一份约250g,炒制,咸鲜,待审核
藏式麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
奶渣饼,加餐,100,一份约100g，作为小吃,煎制,原味,待审核
酥油拌面,午餐,300,一碗约300g,煮制,原味,待审核
藏式炖菜,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核
青稞粥,早餐,300,一碗约300g，作为早餐,煮制,原味,待审核
藏式蘑菇汤,晚餐,300,一碗约300g（含汤）,煮制,鲜香,待审核
风干牛肉,加餐,80,一份约80g，作为零食,其他,咸鲜,待审核
藏式土豆饼,加餐,150,一份约150g，作为小吃,煎制,原味,待审核
藏式馒头,早餐,150,一个约150g，作为早餐,蒸制,原味,待审核
炸奶渣,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核
藏式甜米饭,加餐,200,一份约200g，作为甜点,蒸制,甜味,待审核
藏式血肠,加餐,150,一份约150g，作为小吃,煮制,咸鲜,待审核
藏式酸奶,加餐,200,一碗约200g，作为加餐/饮品,其他,原味,待审核
藏式肉饼,午餐,200,一个约200g,煎制,咸鲜,待审核
藏式炒面,午餐,300,一份约300g,炒制,咸鲜,待审核
牦牛肉面汤,午餐,400,一碗约400g,煮制,鲜香,待审核
平南粉汤,午餐,350,一碗约350g,煮制,鲜香,待审核
桂平甜糍粑,加餐,150,一份约150g，作为甜点,煎制,甜味,待审核
北海烤生蚝,加餐,200,一份约200g（4-6只）,烤制,蒜香,待审核
壮族五色糯米饭,午餐,300,一份约300g,蒸制,原味,待审核
玉林腐乳煲,晚餐,300,一份约300g,炖煮,咸鲜,待审核
贺州肠粉,早餐,250,一份约250g，作为早餐,蒸制,咸鲜,待审核
