关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
荆州鱼糕,午餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
恩施炕土豆,加餐,200,一份约200g，作为小吃,煎制,香辣,待审核
襄阳牛杂面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核
公安锅盔,早餐,150,一个约150g，作为早餐,烤制,咸鲜,待审核
天门蒸菜,晚餐,300,一份，可食部分约300g,蒸制,咸鲜,待审核
沔阳三蒸,晚餐,350,一份，可食部分约350g,蒸制,咸鲜,待审核
孝感麻糖,加餐,80,一份约80g，作为零食,其他,甜味,待审核
武汉糯米包油条,早餐,200,一份约200g，作为早餐,其他,咸鲜,待审核
黄陂三鲜,晚餐,300,一份，可食部分约300g,蒸制,鲜香,待审核
宜昌萝卜饺子,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
平遥牛肉,加餐,100,一份约100g，作为熟食/配餐,其他,咸鲜,待审核
太原头脑,早餐,300,一碗约300g（含汤），作为早餐,煮制,咸鲜,待审核
大同羊杂割,午餐,300,一碗约300g（含汤）,煮制,香辣,待审核
平遥碗托,加餐,200,一份约200g，作为凉菜小吃,凉拌,酸辣,待审核
山西过油肉,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
定襄蒸肉,晚餐,200,一份约200g,蒸制,咸鲜,待审核
闻喜煮饼,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
太谷饼,加餐,100,一个约100g，作为点心,烤制,甜味,待审核
长子炒饼,午餐,300,一份约300g,炒制,咸鲜,待审核
高平烧豆腐,午餐,250,一份约250g,煮制,香辣,待审核
南昌白糖糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核
景德镇碱水粑,加餐,150,一份约150g，作为小吃,炒制,咸鲜,待审核
吉安霉鱼,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
婺源糊豆腐,午餐,250,一份约250g,煮制,鲜香,待审核
九江茶饼,加餐,80,一份约80g，作为零食,烤制,甜味,待审核
井冈山烟笋烧肉,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
赣南荷包胙,晚餐,300,一份，可食部分约300g,蒸制,咸鲜,待审核
抚州牛杂粉,午餐,400,一碗约400g（含汤）,煮制,香辣,待审核
铅山烫粉,午餐,350,一碗约350g,煮制,鲜香,待审核
吴忠羊杂碎,午餐,300,一碗约300g（含汤）,煮制,香辣,待审核
中卫烩小吃,午餐,300,一份约300g（含汤）,煮制,咸鲜,待审核
宁夏八宝茶,加餐,250,一杯约250ml，作为饮品,冲泡,甜味,待审核
沙葱炒羊肉,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
固原烧鸡,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
宁夏羊排小揪面,午餐,400,一碗约400g,煮制,鲜香,待审核
卤肉饭,午餐,300,一份约300g（配米饭）,炖煮,咸鲜,待审核
台湾牛肉面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核
蚵仔煎,加餐,200,一份约200g，作为小吃,煎制,鲜香,待审核
三杯鸡,晚餐,300,一份，可食部分约300g,炒制,咸鲜,待审核
大肠包小肠,加餐,200,一份约200g，作为小吃,烤制,咸鲜,待审核
担仔面,午餐,300,一碗约300g,煮制,鲜香,待审核
棺材板,加餐,200,一份约200g，作为小吃,油炸,咸鲜,待审核
刈包,加餐,150,一个约150g，作为小吃,蒸制,咸鲜,待审核
彰化肉圆,加餐,200,一份约200g，作为小吃,蒸制,咸鲜,待审核
台南碗粿,加餐,200,一份约200g，作为小吃,蒸制,咸鲜,待审核
凤梨酥,加餐,80,一块约80g，作为点心,烤制,甜味,待审核
太阳饼,加餐,80,一个约80g，作为点心,烤制,甜味,待审核
珍珠奶茶,加餐,300,一杯约300ml，作为饮品,冲泡,甜味,待审核
澳门猪扒包,午餐,200,一个约200g,烤制,咸鲜,待审核
葡式蛋挞,加餐,100,一个约100g，作为点心,烤制,甜味,待审核
水蟹粥,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核
港式鱼蛋,加餐,200,一份约200g（8-10颗），作为小吃,煮制,咸鲜,待审核
碗仔翅,加餐,250,一碗约250g，作为小吃,煮制,咸鲜,待审核
鸡蛋仔,加餐,150,一份约150g，作为小吃,烤制,甜味,待审核
杨枝甘露,加餐,250,一碗约250g，作为甜品,其他,甜味,待审核
虾子面,午餐,300,一碗约300g,煮制,鲜香,待审核
港式焗猪扒饭,午餐,350,一份约350g,烤制,咸鲜,待审核
