关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
荆州鱼糕,午餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质,鱼类,鱼糕以鱼肉为主要食材，作为蛋白质菜肴。
恩施炕土豆,加餐,200,一份约200g，作为小吃,煎制,香辣,待审核,组合组成项,蔬菜,薯类,炕土豆以土豆为主要食材，作为蔬菜配菜。
襄阳牛杂面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品|畜肉|动物内脏,牛杂面以面条为主料、牛杂为荤料，作为整餐混合主食。
公安锅盔,早餐,150,一个约150g，作为早餐,烤制,咸鲜,待审核,组合组成项,主食,麦及制品,锅盔以麦面烤制，作为主食点心。
天门蒸菜,晚餐,300,一份，可食部分约300g,蒸制,咸鲜,待审核,组合组成项,蔬菜,叶菜|根菜,菜名过于笼统，主食材无法明确推断，待确认。
沔阳三蒸,晚餐,350,一份，可食部分约350g,蒸制,咸鲜,待审核,组合组成项,混合主餐,畜肉|鱼类|叶菜,三蒸以蒸肉、蒸鱼、蒸菜组合，作为混合主菜。
孝感麻糖,加餐,80,一份约80g，作为零食,其他,甜味,待审核,组合组成项,其他配菜,种子,麻糖以芝麻为主要食材，作为零食点心。
武汉糯米包油条,早餐,200,一份约200g，作为早餐,其他,咸鲜,待审核,组合组成项,主食,米及制品|麦及制品,糯米包油条以糯米裹油条，作为主食点心。
黄陂三鲜,晚餐,300,一份，可食部分约300g,蒸制,鲜香,待审核,组合组成项,蛋白质,畜肉|鱼类|虾蟹贝类,三鲜以肉圆、鱼圆等水产肉料为主，作为蛋白质菜肴。
宜昌萝卜饺子,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核,组合组成项,其他配菜,米及制品|根菜,萝卜米浆炸制，作为小吃点心。
平遥牛肉,加餐,100,一份约100g，作为熟食/配餐,其他,咸鲜,待审核,组合组成项,蛋白质,畜肉,平遥牛肉以牛肉为主要食材，作为蛋白质菜肴。
太原头脑,早餐,300,一碗约300g（含汤），作为早餐,煮制,咸鲜,待审核,整餐候选,汤羹,畜肉,头脑以羊肉汤为底，作为早餐汤品。
